PopName,Year,Month,Births
USA,1933,1,180545
USA,1934,1,182698
USA,1935,1,186051
USA,1936,1,182221
USA,1937,1,182232
USA,1938,1,194557
USA,1939,1,192416
USA,1940,1,194247
USA,1941,1,205011
USA,1942,1,224251
USA,1943,1,261958
USA,1944,1,235595
USA,1945,1,236566
USA,1946,1,222721
USA,1947,1,340460
USA,1948,1,295494
USA,1949,1,299255
USA,1950,1,297276
USA,1951,1,303538
USA,1952,1,311626
USA,1953,1,322488
USA,1954,1,331570
USA,1955,1,328872
USA,1956,1,339074
USA,1957,1,346462
USA,1958,1,344236
USA,1959,1,349334
USA,1960,1,345376
USA,1961,1,353286
USA,1962,1,344014
USA,1963,1,339188
USA,1964,1,332210
USA,1965,1,312668
USA,1966,1,293850
USA,1967,1,293056
USA,1968,1,277404
USA,1969,1,293940
USA,1970,1,301870
USA,1971,1,312190
USA,1972,1,275912
USA,1973,1,265775
USA,1974,1,257455
USA,1975,1,259173
USA,1976,1,257181
USA,1977,1,271480
USA,1978,1,270695
USA,1979,1,284463
USA,1980,1,292009
USA,1981,1,294632
USA,1982,1,297823
USA,1983,1,297750
USA,1984,1,292200
USA,1985,1,304073
USA,1986,1,306183
USA,1987,1,305069
USA,1988,1,310214
USA,1989,1,320422
USA,1990,1,335274
USA,1991,1,335172
USA,1992,1,334045
USA,1993,1,323073
USA,1994,1,320705
USA,1995,1,316013
USA,1996,1,314283
USA,1997,1,317211
USA,1998,1,319340
USA,1999,1,319182
USA,2000,1,330108
USA,2001,1,335198
USA,2002,1,330674
USA,2003,1,329803
USA,2004,1,332907
USA,2005,1,331478
USA,2006,1,340297
USA,2007,1,354943
USA,2008,1,356457
USA,2009,1,337980
USA,2010,1,323249
USA,2011,1,320477
USA,2012,1,316315
USA,2013,1,323691
USA,2014,1,326366
USA,2015,1,325955
USA,2016,1,316707
USA,2017,1,313786
USA,2018,1,314808
USA,2019,1,310872
USA,2020,1,304722
USA,1933,2,165986
USA,1934,2,166452
USA,1935,2,171058
USA,1936,2,176711
USA,1937,2,170698
USA,1938,2,180052
USA,1939,2,176904
USA,1940,2,188279
USA,1941,2,190876
USA,1942,2,208149
USA,1943,2,237078
USA,1944,2,223073
USA,1945,2,214692
USA,1946,2,206387
USA,1947,2,301932
USA,1948,2,285694
USA,1949,2,273195
USA,1950,2,272604
USA,1951,2,282118
USA,1952,2,300218
USA,1953,2,296312
USA,1954,2,302318
USA,1955,2,306418
USA,1956,2,324828
USA,1957,2,317380
USA,1958,2,319968
USA,1959,2,322706
USA,1960,2,329642
USA,1961,2,327502
USA,1962,2,318090
USA,1963,2,310846
USA,1964,2,318554
USA,1965,2,288238
USA,1966,2,273902
USA,1967,2,268664
USA,1968,2,266082
USA,1969,2,270786
USA,1970,2,281100
USA,1971,2,283444
USA,1972,2,262305
USA,1973,2,241045
USA,1974,2,236551
USA,1975,2,238153
USA,1976,2,242868
USA,1977,2,253322
USA,1978,2,249898
USA,1979,2,260981
USA,1980,2,279961
USA,1981,2,273234
USA,1982,2,276899
USA,1983,2,276981
USA,1984,2,281564
USA,1985,2,281261
USA,1986,2,282526
USA,1987,2,283477
USA,1988,2,298464
USA,1989,2,300391
USA,1990,2,312611
USA,1991,2,309130
USA,1992,2,315448
USA,1993,2,304656
USA,1994,2,301327
USA,1995,2,295094
USA,1996,2,301763
USA,1997,2,291541
USA,1998,2,298711
USA,1999,2,297568
USA,2000,2,317377
USA,2001,2,303534
USA,2002,2,303977
USA,2003,2,307248
USA,2004,2,315821
USA,2005,2,309620
USA,2006,2,319235
USA,2007,2,326891
USA,2008,2,338521
USA,2009,2,316641
USA,2010,2,301994
USA,2011,2,297961
USA,2012,2,304505
USA,2013,2,291748
USA,2014,2,298404
USA,2015,2,298058
USA,2016,2,306015
USA,2017,2,289054
USA,2018,2,284250
USA,2019,2,279963
USA,2020,2,282654
USA,1933,3,183762
USA,1934,3,179065
USA,1935,3,185375
USA,1936,3,188522
USA,1937,3,189650
USA,1938,3,196177
USA,1939,3,196123
USA,1940,3,198090
USA,1941,3,211875
USA,1942,3,227012
USA,1943,3,255166
USA,1944,3,227932
USA,1945,3,230989
USA,1946,3,228321
USA,1947,3,325740
USA,1948,3,300463
USA,1949,3,300117
USA,1950,3,294038
USA,1951,3,312820
USA,1952,3,317178
USA,1953,3,315132
