PopName,Year,Month,Births
USA,1933,January,180545
USA,1934,January,182698
USA,1935,January,186051
USA,1936,January,182221
USA,1937,January,182232
USA,1938,January,194557
USA,1939,January,192416
USA,1940,January,194247
USA,1941,January,205011
USA,1942,January,224251
USA,1943,January,261958
USA,1944,January,235595
USA,1945,January,236566
USA,1946,January,222721
USA,1947,January,340460
USA,1948,January,295494
USA,1949,January,299255
USA,1950,January,297276
USA,1951,January,303538
USA,1952,January,311626
USA,1953,January,322488
USA,1954,January,331570
USA,1955,January,328872
USA,1956,January,339074
USA,1957,January,346462
USA,1958,January,344236
USA,1959,January,349334
USA,1960,January,345376
USA,1961,January,353286
USA,1962,January,344014
USA,1963,January,339188
USA,1964,January,332210
USA,1965,January,312668
USA,1966,January,293850
USA,1967,January,293056
USA,1968,January,277404
USA,1969,January,293940
USA,1970,January,301870
USA,1971,January,312190
USA,1972,January,275912
USA,1973,January,265775
USA,1974,January,257455
USA,1975,January,259173
USA,1976,January,257181
USA,1977,January,271480
USA,1978,January,270695
USA,1979,January,284463
USA,1980,January,292009
USA,1981,January,294632
USA,1982,January,297823
USA,1983,January,297750
USA,1984,January,292200
USA,1985,January,304073
USA,1986,January,306183
USA,1987,January,305069
USA,1988,January,310214
USA,1989,January,320422
USA,1990,January,335274
USA,1991,January,335172
USA,1992,January,334045
USA,1993,January,323073
USA,1994,January,320705
USA,1995,January,316013
USA,1996,January,314283
USA,1997,January,317211
USA,1998,January,319340
USA,1999,January,319182
USA,2000,January,330108
USA,2001,January,335198
USA,2002,January,330674
USA,2003,January,329803
USA,2004,January,332907
USA,2005,January,331478
USA,2006,January,340297
USA,2007,January,354943
USA,2008,January,356457
USA,2009,January,337980
USA,2010,January,323249
USA,2011,January,320477
USA,2012,January,316315
USA,2013,January,323691
USA,2014,January,326366
USA,2015,January,325955
USA,2016,January,316707
USA,2017,January,313786
USA,2018,January,314808
USA,2019,January,310872
USA,2020,January,304722
USA,1933,February,165986
USA,1934,February,166452
USA,1935,February,171058
USA,1936,February,176711
USA,1937,February,170698
USA,1938,February,180052
USA,1939,February,176904
USA,1940,February,188279
USA,1941,February,190876
USA,1942,February,208149
USA,1943,February,237078
USA,1944,February,223073
USA,1945,February,214692
USA,1946,February,206387
USA,1947,February,301932
USA,1948,February,285694
USA,1949,February,273195
USA,1950,February,272604
USA,1951,February,282118
USA,1952,February,300218
USA,1953,February,296312
USA,1954,February,302318
USA,1955,February,306418
USA,1956,February,324828
USA,1957,February,317380
USA,1958,February,319968
USA,1959,February,322706
USA,1960,February,329642
USA,1961,February,327502
USA,1962,February,318090
USA,1963,February,310846
USA,1964,February,318554
USA,1965,February,288238
USA,1966,February,273902
USA,1967,February,268664
USA,1968,February,266082
USA,1969,February,270786
USA,1970,February,281100
USA,1971,February,283444
USA,1972,February,262305
USA,1973,February,241045
USA,1974,February,236551
USA,1975,February,238153
USA,1976,February,242868
USA,1977,February,253322
USA,1978,February,249898
USA,1979,February,260981
USA,1980,February,279961
USA,1981,February,273234
USA,1982,February,276899
USA,1983,February,276981
USA,1984,February,281564
USA,1985,February,281261
USA,1986,February,282526
USA,1987,February,283477
USA,1988,February,298464
USA,1989,February,300391
USA,1990,February,312611
USA,1991,February,309130
USA,1992,February,315448
USA,1993,February,304656
USA,1994,February,301327
USA,1995,February,295094
USA,1996,February,301763
USA,1997,February,291541
USA,1998,February,298711
USA,1999,February,297568
USA,2000,February,317377
USA,2001,February,303534
USA,2002,February,303977
USA,2003,February,307248
USA,2004,February,315821
USA,2005,February,309620
USA,2006,February,319235
USA,2007,February,326891
USA,2008,February,338521
USA,2009,February,316641
USA,2010,February,301994
USA,2011,February,297961
USA,2012,February,304505
USA,2013,February,291748
USA,2014,February,298404
USA,2015,February,298058
USA,2016,February,306015
USA,2017,February,289054
USA,2018,February,284250
USA,2019,February,279963
USA,2020,February,282654
USA,1933,March,183762
USA,1934,March,179065
USA,1935,March,185375
USA,1936,March,188522
USA,1937,March,189650
USA,1938,March,196177
USA,1939,March,196123
USA,1940,March,198090
USA,1941,March,211875
USA,1942,March,227012
USA,1943,March,255166
USA,1944,March,227932
USA,1945,March,230989
USA,1946,March,228321
USA,1947,March,325740
USA,1948,March,300463
USA,1949,March,300117
USA,1950,March,294038
USA,1951,March,312820
USA,1952,March,317178
USA,1953,March,315132
USA,1954,March,323668
USA,1955,March,332407
USA,1956,March,344912
USA,1957,March,348378
USA,1958,March,347378
USA,1959,March,358192
USA,1960,March,349918
USA,1961,March,360322
USA,1962,March,350762
USA,1963,March,340494
USA,1964,March,332388
USA,1965,March,317394
USA,1966,March,303420
USA,1967,March,296915
USA,1968,March,282152
USA,1969,March,296550
USA,1970,March,307068
USA,1971,March,307718
USA,1972,March,273054
USA,1973,March,268849
USA,1974,March,257951
USA,1975,March,261608
USA,1976,March,258146
USA,1977,March,281027
USA,1978,March,276584
USA,1979,March,288637
USA,1980,March,297309
USA,1981,March,301691
USA,1982,March,305811
USA,1983,March,310928
USA,1984,March,303970
USA,1985,March,310679
USA,1986,March,312394
USA,1987,March,317462
USA,1988,March,321920
USA,1989,March,339912
USA,1990,March,350614
USA,1991,March,344079
USA,1992,March,339518
USA,1993,March,342187
USA,1994,March,339736
USA,1995,March,328503
USA,1996,March,322581
USA,1997,March,321212
USA,1998,March,329436
USA,1999,March,332939
USA,2000,March,340553
USA,2001,March,338684
USA,2002,March,331505
USA,2003,March,336920
USA,2004,March,346348
USA,2005,March,349321
USA,2006,March,356786
USA,2007,March,360828
USA,2008,March,350630
USA,2009,March,347803
USA,2010,March,338613
USA,2011,March,330151
USA,2012,March,324322
USA,2013,March,320529
USA,2014,March,323572
USA,2015,March,328923
USA,2016,March,328526
USA,2017,March,319625
USA,2018,March,316044
USA,2019,March,304237
USA,2020,March,301625
USA,1933,April,171354
USA,1934,April,168671
USA,1935,April,172177
USA,1936,April,170489
USA,1937,April,175708
USA,1938,April,184263
USA,1939,April,182990
USA,1940,April,186743
USA,1941,April,200781
USA,1942,April,209363
USA,1943,April,235675
USA,1944,April,212915
USA,1945,April,215029
USA,1946,April,220646
USA,1947,April,292375
USA,1948,April,277636
USA,1949,April,270770
USA,1950,April,258868
USA,1951,April,295924
USA,1952,April,292028
USA,1953,April,286962
USA,1954,April,305006
USA,1955,April,309198
USA,1956,April,308530
USA,1957,April,331212
USA,1958,April,326178
USA,1959,April,331144
USA,1960,April,327202
USA,1961,April,335120
USA,1962,April,327926
USA,1963,April,322936
USA,1964,April,313338
USA,1965,April,293254
USA,1966,April,286914
USA,1967,April,270618
USA,1968,April,273564
USA,1969,April,282638
USA,1970,April,286624
USA,1971,April,285730
USA,1972,April,254538
USA,1973,April,247455
USA,1974,April,246469
USA,1975,April,250992
USA,1976,April,243611
USA,1977,April,262403
USA,1978,April,254585
USA,1979,April,271159
USA,1980,April,286780
USA,1981,April,285578
USA,1982,April,291446
USA,1983,April,293920
USA,1984,April,285823
USA,1985,April,301777
USA,1986,April,304103
USA,1987,April,307768
USA,1988,April,309185
USA,1989,April,318779
USA,1990,April,336382
USA,1991,April,335626
USA,1992,April,333373
USA,1993,April,327042
USA,1994,April,317392
USA,1995,April,309119
USA,1996,April,312595
USA,1997,April,314230
USA,1998,April,319758
USA,1999,April,316889
USA,2000,April,317180
USA,2001,April,323613
USA,2002,April,324432
USA,2003,April,330106
USA,2004,April,333335
USA,2005,April,332477
USA,2006,April,329809
USA,2007,April,338224
USA,2008,April,346397
USA,2009,April,337272
USA,2010,April,325028
USA,2011,April,313275
USA,2012,April,306700
USA,2013,April,311645
USA,2014,April,318990
USA,2015,April,320832
USA,2016,April,313485
USA,2017,April,300116
USA,2018,April,298394
USA,2019,April,298947
USA,2020,April,290478
